Date,Guddu U/S (cfs),Guddu D/S (cfs),Sukkur U/S (cfs),Sukkur D/S (cfs),Kotri U/S (cfs),Kotri D/S (cfs)
1-Jul,171700,136600,109900,54400,55500,19900
2-Jul,172800,138100,112500,56500,50000,14200
3-Jul,171600,135200,119700,63200,47000,11000
4-Jul,173000,136800,120000,63300,44700,8200
5-Jul,186100,150200,120000,63300,45000,8200
6-Jul,183800,146500,120400,63300,48000,11200
7-Jul,179700,142000,126900,70000,48600,11200
8-Jul,180100,142000,124000,66500,49100,11200
9-Jul,176300,138500,121400,63900,52000,14100
10-Jul,171200,133400,121400,63900,52300,14100
11-Jul,168500,130700,121000,65600,52300,14100
12-Jul,167800,129600,112600,56300,55000,16600
13-Jul,180200,142900,108000,50500,55500,18300
14-Jul,183500,145400,114000,56800,55400,19100
15-Jul,178300,139900,122500,64400,52300,14200
16-Jul,179100,140200,122800,64400,51300,12700
17-Jul,188400,149400,123000,64400,50100,11200
18-Jul,196200,157200,131300,72700,48700,9800
19-Jul,194900,155900,136100,77700,47400,8300
20-Jul,187700,149300,137600,79200,47400,8300
21-Jul,184800,146100,138900,80500,48600,9600
22-Jul,179800,141300,132500,74100,50200,11200
23-Jul,177000,138200,130600,72000,53300,14200
24-Jul,182100,143800,125000,66600,58900,19900
25-Jul,186000,147300,123300,64500,60700,21500
26-Jul,192100,155900,127900,69600,60800,21500
27-Jul,225800,195900,134200,75600,61000,21800
28-Jul,242000,208600,148200,88900,59200,19900
29-Jul,265900,231800,172100,112900,57700,18300
30-Jul,296200,260800,178400,119300,56100,16800
31-Jul,307500,270100,199400,140100,60300,20100
1-Aug,304700,267600,218300,158200,62400,23400
2-Aug,399900,265200,226800,166600,75500,36700
3-Aug,267900,258900,226900,180200,100300,73400
4-Aug,252900,252900,229100,209700,105900,99600
5-Aug,236600,236600,220000,197800,120200,116700
6-Aug,241600,236400,214200,177400,130900,121900
7-Aug,246700,236400,211300,172800,142900,125500
8-Aug,271100,253500,212800,175200,151100,125500
9-Aug,312600,299200,222600,185900,154700,133600
10-Aug,351800,332000,231300,191100,155600,137000
11-Aug,373300,353300,259300,215100,160900,137800
12-Aug,375900,356200,284700,236200,153700,124100
13-Aug,379300,356200,302000,253200,150900,117500
14-Aug,370800,364400,322300,280100,157400,124000
15-Aug,372100,365600,331600,305300,161800,132000
16-Aug,388900,385300,345600,328900,167600,145700
17-Aug,409600,385500,357000,328900,174500,145700
18-Aug,417000,390700,362100,319600,185200,153500
19-Aug,434600,405800,366800,319600,200300,167600
20-Aug,489500,459200,373400,322700,207700,174200
21-Aug,567400,542100,381100,328000,222300,188400
22-Aug,564500,517900,460200,405700,225900,191500
23-Aug,447800,420000,510100,455000,230000,195000
24-Aug,374800,345700,510900,455000,245900,209800
25-Aug,386100,360200,365700,310700,267100,231100
26-Aug,419300,393800,344800,288400,274000,238100
27-Aug,419300,393800,344800,288400,274000,238100
28-Aug,405100,378200,342300,285800,288800,252800
29-Aug,398100,370700,365900,309300,302200,266900
30-Aug,393400,363900,366100,309300,324000,288600
31-Aug,369800,340400,356600,299300,381700,344900
1-Sep,238300,297400,342700,285500,381700,344900
2-Sep,312800,283400,325100,267200,358400,322400
3-Sep,287500,259700,270000,211300,336000,299700
4-Sep,273100,243900,256300,197200,335700,299700
5-Sep,282700,253000,243700,184500,335400,299700
6-Sep,281000,253000,238600,179600,335400,299700
7-Sep,279400,252000,229300,170100,325700,289600
8-Sep,279400,252000,220000,159000,315600,279500
9-Sep,159500,134500,156900,95500,294700,258600
10-Sep,142300,117300,134300,73900,243600,206700
11-Sep,141400,116800,129300,68900,207000,170300
12-Sep,140800,114200,118900,58400,158100,122000
13-Sep,138600,111400,113400,52900,125400,89700
14-Sep,131200,104000,106400,46300,85700,49900
15-Sep,111100,82200,101800,42000,82600,46700
16-Sep,110300,81800,91000,32500,76600,41700
17-Sep,108800,84200,81000,22800,71900,36700
18-Sep,104000,78200,82400,23100,58400,23200
19-Sep,106100,79400,82400,23100,51100,16300
20-Sep,111000,84300,78300,20500,44800,10000
21-Sep,108500,82200,78900,20700,40000,52000
22-Sep,106100,80200,78300,20700,37700,32000
